Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,F9 v1.0B0003.1,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,1,F9 v1.0B0003.1,"Success
",4 June 2010,18:45
1,F9 v1.0B0004.1,Dragon,0,LEO,NASA,1,F9 v1.0B0003.1,Success,4 June 2010,18:45
1,F9 v1.0B0005.1,Dragon,525 kg,LEO,NASA,1,F9 v1.0B0003.1,Success,4 June 2010,18:45
1,F9 v1.0B0006.1,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0003.1,"Success
",4 June 2010,18:45
0,F9 v1.0B0007.1,SpaceX CRS-2,"4,877 kg",LEO,NASA,2,F9 v1.0B0003.1,"Success
",4 June 2010,18:45
0,F9 v1.1B1003,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.0B0004.1,Success,8 December 2010,15:43
0,F9 v1.1,SES-8,"3,170 kg",GTO,SES,3,F9 v1.0B0005.1,Success,22 May 2012,07:44
0,F9 v1.1,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.0B0006.1,Success,8 October 2012,00:35
0,F9 v1.1,SpaceX CRS-3,"2,296 kg",LEO,NASA,4,F9 v1.0B0007.1,"Success
",1 March 2013,15:10
0,F9 v1.1,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,"Success
",F9 v1.1B1003,Success,29 September 2013,16:00
0,F9 v1.1,AsiaSat 8,"4,535 kg",GTO,AsiaSat,5,F9 v1.1,Success,3 December 2013,22:41
0,F9 v1.1,AsiaSat 6,"4,428 kg",GTO,AsiaSat,"Success
",F9 v1.1,Success,6 January 2014,22:06
0,F9 v1.1,SpaceX CRS-4,"2,216 kg",LEO,NASA,6,F9 v1.1,Success,18 April 2014,19:25
0,F9 v1.1,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Success,14 July 2014,15:15
0,F9 v1.1,DSCOVR,570 kg,HEO,USAF,7,F9 v1.1,"Success
",5 August 2014,08:00
0,F9 v1.1,ABS-3A,"4,159 kg",GTO,ABS,Success,F9 v1.1,"Success
",7 September 2014,05:00
0,F9 v1.1,SpaceX CRS-6,"1,898 kg",LEO,NASA,8,F9 v1.1,"Success
",21 September 2014,05:52
0,F9 v1.1,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,Success,F9 v1.1,"Success
",10 January 2015,09:47
0,F9 v1.1,SpaceX CRS-7,"1,952 kg",LEO,NASA,9,F9 v1.1,Failure,11 February 2015,23:03
0,F9 FT,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,"Success
",2 March 2015,03:50
0,F9 v1.1,Jason-3,553 kg,LEO,NASA,10,F9 v1.1,"Success
",14 April 2015,20:10
0,F9 FT,SES-9,"5,271 kg",GTO,SES,Success,F9 v1.1,"Success
",27 April 2015,23:03
0,F9 FT,SpaceX CRS-8,"3,136 kg",LEO,NASA,11,F9 v1.1,Success,28 June 2015,14:21
0,F9 FT,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,F9 FT,"Success
",22 December 2015,01:29
0,F9 FT,Thaicom 8,"3,100 kg",GTO,Thaicom,12,F9 v1.1,"Success
",17 January 2016,18:42
0,F9 FT,ABS-2A,"3,600 kg",GTO,ABS,Success,F9 FT,"Success
",4 March 2016,23:35
0,F9 FT,SpaceX CRS-9,"2,257 kg",LEO,NASA,13,F9 FT,"Success
",8 April 2016,20:43
0,F9 FT,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,F9 FT,"Success
",6 May 2016,05:21
0,F9 FT,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,14,F9 FT,"Success
",27 May 2016,21:39
0,F9 FT,SpaceX CRS-10,"2,490 kg",LEO,NASA,Success,F9 FT,"Success
",15 June 2016,14:29
0,F9 FT,EchoStar 23,"5,600 kg",GTO,EchoStar,15,F9 FT,"Success
",18 July 2016,04:45
0,F9 FT♺,SES-10,"5,300 kg",GTO,SES,"Success
",F9 FT,Success,14 August 2016,05:26
0,F9 FT,NROL-76,C,LEO,NRO,16,F9 FT,"Success
",14 January 2017,17:54
0,F9 FT,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,"Success
",19 February 2017,14:39
0,F9 FT,SpaceX CRS-11,"2,708 kg",LEO,NASA,17,F9 FT,"Success
",16 March 2017,06:00
0,F9 FTB1029.2,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FT♺,"Success
",30 March 2017,22:27
0,F9 FT,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,18,F9 FT,"Success
",1 May 2017,11:15
0,F9 FT,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,"Success
",15 May 2017,23:21
0,F9 B4,SpaceX CRS-12,"3,310 kg",LEO,NASA,19,F9 FT,"Success
",3 June 2017,21:07
0,F9 FT,Formosat-5,475 kg,SSO,NSPO,Failure,F9 FTB1029.2,"Success
",23 June 2017,19:10
0,F9 B4,Boeing X-37B,"4,990 kg",LEO,USAF,20,F9 FT,"Success
",25 June 2017,20:25
0,F9 B4,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,"Success
",5 July 2017,23:38
0,F9 FTB1031.2,SES-11,"5,200 kg",GTO,SES S.A.,21,F9 B4,"Success
",14 August 2017,16:31
0,F9 B4,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 FT,"Success
",24 August 2017,18:51
0,F9 FTB1035.2,SpaceX CRS-13,"2,205 kg",LEO,NASA,22,F9 B4,"Success
",7 September 2017,14:00
0,F9 FTB1036.2,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,Success,9 October 2017,12:37
0,F9 B4,Zuma,C,LEO,Northrop Grumman,23,F9 FTB1031.2,Success,11 October 2017,22:53:00
0,F9 FTB1032.2,GovSat-1,"4,230 kg",GTO,SES,Success,F9 B4,Success,30 October 2017,19:34
0,F9 FTB1038.2,Paz,"2,150 kg",SSO,Hisdesat,24,F9 FTB1035.2,Success,15 December 2017,15:36
0,F9 B4,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,"Success
",F9 FTB1036.2,Success,23 December 2017,01:27
0,F9 B4B1041.2,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,25,F9 B4,Success,8 January 2018,01:00
0,F9 B4B1039.2,SpaceX CRS-14,"2,647 kg",LEO,NASA,"Success
",F9 FTB1032.2,Success,31 January 2018,21:25
0,F9 B4,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,26,F9 FTB1038.2,Success,22 February 2018,14:17
0,F9 B5B1046.1,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,"Success
",F9 B4,Success,6 March 2018,05:33
0,F9 B4B1043.2,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,27,F9 B4B1041.2,Success,30 March 2018,14:14
0,F9 B4B1040.2,SES-12,"5,384 kg",GTO,SES,"Success
",F9 B4B1039.2,Success,2 April 2018,20:30
0,F9 B4B1045.2,SpaceX CRS-15,"2,697 kg",LEO,NASA,28,F9 B4,Success,18 April 2018,22:51
0,F9 B5,Telstar 19V,"7,075 kg",GTO,Telesat,"Success
",F9 B5B1046.1,Success,11 May 2018,20:14
0,F9 B5B1048,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,29,F9 B4B1043.2,Success,22 May 2018,19:47
0,F9 B5B1046.2,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,"Success
",F9 B4B1040.2,Success,4 June 2018,04:45
0,F9 B5,Telstar 18V,"7,060 kg",GTO,Telesat,30,F9 B4B1045.2,Success,29 June 2018,09:42
0,F9 B5B1048.2,SAOCOM 1A,"3,000 kg",SSO,CONAE,"Success
",F9 B5,Success,22 July 2018,05:50
0,F9 B5B1047.2,Es'hail 2,"5,300 kg",GTO,Es'hailSat,31,F9 B5B1048,Success,25 July 2018,11:39
0,F9 B5B1046.3,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,"Success
",F9 B5B1046.2,Success,7 August 2018,05:18
0,F9 B5,SpaceX CRS-16,"2,500 kg",LEO,NASA,32,F9 B5,"Success
",10 September 2018,04:45
0,F9 B5,GPS III,"4,400 kg",MEO,USAF,Success,F9 B5B1048.2,Success,8 October 2018,02:22
0,F9 B5B1049.2,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,33,F9 B5B1047.2,"Success
",15 November 2018,20:46
0,F9 B5B1048.3,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",F9 B5B1046.3,"Success
",3 December 2018,18:34:05
0,F9 B5[268],Crew Dragon Demo-1,"12,055 kg",LEO,NASA,34,F9 B5,"Success
",5 December 2018,18:16
0,F9 B5,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5,"Success
",23 December 2018,13:51
0,F9 B5B1049.3,Starlink,"13,620 kg",LEO,SpaceX,35,F9 B5B1049.2,"Success
",11 January 2019,15:31
0,F9 B5B1051.2,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1048.3,"Success
",22 February 2019,01:45
0,F9 B5B1056.2,SpaceX CRS-18,"2,268 kg",LEO,NASA,36,F9 B5[268],"Success
",2 March 2019,07:49
0,F9 B5B1047.3,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",F9 B5,"Success
",4 May 2019,06:48
0,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,37,F9 B5B1049.3,"Success
",24 May 2019,02:30
0,F9 B5,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5B1051.2,"Success
",12 June 2019,14:17
0,F9 B5B1056.3,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,38,F9 B5B1056.2,"Success
",25 July 2019,22:01
